1,android/support/v4/app android/support/v4/content android/support/v4/internal/view android/support/v4/media android/support/v4/os android/support/v4/util android/support/v4/view android/support/v4/widget
2,android/support/v7/app android/support/v7/internal/view android/support/v7/internal/widget android/support/v7/view android/support/v7/widget
3,com/commonsware/cwac/adapter com/commonsware/cwac/endless
4,com/nineoldandroids/animation com/nineoldandroids/util com/nineoldandroids/view
5,de/geeksfactory/opacclient
6,org/acra org/holoeverywhere org/jsoup
7,android/support/v4/accessibilityservice
8,android/support/v4/database
9,android/support/v4/graphics/drawable
10,android/support/v4/hardware/display
11,android/support/v4/net
12,android/support/v4/print
13,android/support/v4/text
14,org/apmem/tools/layouts
